User Input Text (Features),Target_Disease (Label),,,,,,,,,,,,,,,,,,,,,,,,
"""I noticed a little bit of blood in my loose stools""",Salmonellosis (non-typhoidal),,,,,,,,,,,,,,,,,,,,,,,,
"""My head is aching and I have a low-grade temperature""",Salmonellosis (non-typhoidal),,,,,,,,,,,,,,,,,,,,,,,,
"""I feel very thirsty and lightheaded from so much diarrhea""",Salmonellosis (non-typhoidal),,,,,,,,,,,,,,,,,,,,,,,,
"""Persistent abdominal pain and loss of appetite""",Salmonellosis (non-typhoidal),,,,,,,,,,,,,,,,,,,,,,,,
"""Sudden onset of vomiting and intestinal distress""",Salmonellosis (non-typhoidal),,,,,,,,,,,,,,,,,,,,,,,,
"""Feeling cold and shivery with an upset stomach""",Salmonellosis (non-typhoidal),,,,,,,,,,,,,,,,,,,,,,,,
"""Frequent, small-volume, bloody diarrhea""",Shigellosis,,,,,,,,,,,,,,,,,,,,,,,,
"""Abdominal cramps and pain""",Shigellosis,,,,,,,,,,,,,,,,,,,,,,,,
"""Fever""",Shigellosis,,,,,,,,,,,,,,,,,,,,,,,,
"""Feeling the need to pass stool even when the bowels are empty""",Shigellosis,,,,,,,,,,,,,,,,,,,,,,,,
"""Nausea and vomiting""",Shigellosis,,,,,,,,,,,,,,,,,,,,,,,,
"""I have very painful stomach cramps and my poop has blood in it""",Shigellosis,,,,,,,,,,,,,,,,,,,,,,,,
"""I keep feeling like I need to go to the bathroom, but nothing comes out""",Shigellosis,,,,,,,,,,,,,,,,,,,,,,,,
"""I have a high fever and very frequent watery diarrhea""",Shigellosis,,,,,,,,,,,,,,,,,,,,,,,,
"""I've noticed mucus and slime in my bowel movements""",Shigellosis,,,,,,,,,,,,,,,,,,,,,,,,
"""My stomach is in knots and I feel very sick""",Shigellosis,,,,,,,,,,,,,,,,,,,,,,,,
"""Persistent urge to use the toilet and rectal pain""",Shigellosis,,,,,,,,,,,,,,,,,,,,,,,,
"""Dehydration and weakness from severe intestinal infection""",Shigellosis,,,,,,,,,,,,,,,,,,,,,,,,
"""Loss of appetite and a general feeling of exhaustion""",Shigellosis,,,,,,,,,,,,,,,,,,,,,,,,
"""My child had a seizure along with this bad diarrhea""",Shigellosis,,,,,,,,,,,,,,,,,,,,,,,,
"""Tenacity and cramping in the lower abdomen""",Shigellosis,,,,,,,,,,,,,,,,,,,,,,,,
"""Fever and chills""",Shigellosis,,,,,,,,,,,,,,,,,,,,,,,,
"""Sweating often with a moldy odor""",Shigellosis,,,,,,,,,,,,,,,,,,,,,,,,
"""Muscle and joint pain""",Shigellosis,,,,,,,,,,,,,,,,,,,,,,,,
"""Fatigue and weakness""",Shigellosis,,,,,,,,,,,,,,,,,,,,,,,,
"""Headache and loss of appetite""",Shigellosis,,,,,,,,,,,,,,,,,,,,,,,,
"""I have a fever that seems to go away and then comes back""",Shigellosis,,,,,,,,,,,,,,,,,,,,,,,,
"""I'm sweating a lot, especially at night, and it smells strange""",Shigellosis,,,,,,,,,,,,,,,,,,,,,,,,
"""My back and joints are really aching""",Shigellosis,,,,,,,,,,,,,,,,,,,,,,,,
"""I feel completely wiped out and have no energy""",Shigellosis,,,,,,,,,,,,,,,,,,,,,,,,
"""I have a persistent headache and I've lost weight""",Shigellosis,,,,,,,,,,,,,,,,,,,,,,,,
"""My appetite is gone and I feel generally unwell""",Shigellosis,,,,,,,,,,,,,,,,,,,,,,,,
"""I've been having recurrent fevers for several weeks""",Shigellosis,,,,,,,,,,,,,,,,,,,,,,,,
"""Pain in my testicles and swelling""",Shigellosis,,,,,,,,,,,,,,,,,,,,,,,,
"""Spleen and liver enlargement causing stomach discomfort""",Shigellosis,,,,,,,,,,,,,,,,,,,,,,,,
"""Nervousness and depression accompanying physical symptoms""",Shigellosis,,,,,,,,,,,,,,,,,,,,,,,,
"""Fever and chills""",Listeriosis,,,,,,,,,,,,,,,,,,,,,,,,
"""Muscle aches""",Listeriosis,,,,,,,,,,,,,,,,,,,,,,,,
"""Nausea and diarrhea""",Listeriosis,,,,,,,,,,,,,,,,,,,,,,,,
"""Stiff neck and confusion or if it spreads to the nervous system""",Listeriosis,,,,,,,,,,,,,,,,,,,,,,,,
"""Loss of balance or convulsions""",Listeriosis,,,,,,,,,,,,,,,,,,,,,,,,
"""I have a fever and my muscles are really sore, like the flu""",Listeriosis,,,,,,,,,,,,,,,,,,,,,,,,
"""I've been feeling nauseous and have an upset stomach""",Listeriosis,,,,,,,,,,,,,,,,,,,,,,,,
"""My neck is very stiff and I'm having trouble thinking clearly""",Listeriosis,,,,,,,,,,,,,,,,,,,,,,,,
"""I feel very dizzy and unsteady on my feet""",Listeriosis,,,,,,,,,,,,,,,,,,,,,,,,
"""I had a sudden high temperature and severe headache""",Listeriosis,,,,,,,,,,,,,,,,,,,,,,,,
"""Loss of appetite and general body weakness""",Listeriosis,,,,,,,,,,,,,,,,,,,,,,,,
"""I'm pregnant and I've started having fever and body aches""",Listeriosis,,,,,,,,,,,,,,,,,,,,,,,,
"""Confusion and sensitivity to bright lights""",Listeriosis,,,,,,,,,,,,,,,,,,,,,,,,
"""Lethargy and vomiting after eating potentially contaminated food""",Listeriosis,,,,,,,,,,,,,,,,,,,,,,,,
"""Acute gastrointestinal distress followed by neurological signs""",Listeriosis,,,,,,,,,,,,,,,,,,,,,,,,
"""Painful urination""",Gonorrhea,,,,,,,,,,,,,,,,,,,,,,,,
"""Unusual discharge from the penis or vagina""",Gonorrhea,,,,,,,,,,,,,,,,,,,,,,,,
"""Pain or swelling in testicles""",Gonorrhea,,,,,,,,,,,,,,,,,,,,,,,,
"""Pelvic pain in women""",Gonorrhea,,,,,,,,,,,,,,,,,,,,,,,,
"""I have a thick, yellowish discharge and it burns when I pee""",Gonorrhea,,,,,,,,,,,,,,,,,,,,,,,,
"""I've noticed some spotting between my periods""",Gonorrhea,,,,,,,,,,,,,,,,,,,,,,,,
"""My testicles are swollen and very tender""",Gonorrhea,,,,,,,,,,,,,,,,,,,,,,,,
"""I have a strange discharge and my throat is also very sore""",Gonorrhea,,,,,,,,,,,,,,,,,,,,,,,,
"""Persistent pelvic discomfort and pain during intimacy""",Gonorrhea,,,,,,,,,,,,,,,,,,,,,,,,
"""I've been having some rectal itching and discharge""",Gonorrhea,,,,,,,,,,,,,,,,,,,,,,,,
"""Heavy periods and painful bowel movements""",Gonorrhea,,,,,,,,,,,,,,,,,,,,,,,,
"""Redness and swelling at the opening of the urethra""",Gonorrhea,,,,,,,,,,,,,,,,,,,,,,,,
"""I feel a sharp stinging sensation every time I go to the bathroom""",Gonorrhea,,,,,,,,,,,,,,,,,,,,,,,,
"""Unusual vaginal wetness that smells different""",Gonorrhea,,,,,,,,,,,,,,,,,,,,,,,,
"""Frequent urge to urinate with minimal output""",Gonorrhea,,,,,,,,,,,,,,,,,,,,,,,,
"""Painless sore on genitals, rectum, or mouth""",Syphilis,,,,,,,,,,,,,,,,,,,,,,,,
"""Non-itchy body rash, often on palms and soles""",Syphilis,,,,,,,,,,,,,,,,,,,,,,,,
"""Fever and swollen lymph glands""",Syphilis,,,,,,,,,,,,,,,,,,,,,,,,
"""Sore throat and patchy hair loss""",Syphilis,,,,,,,,,,,,,,,,,,,,,,,,
"""I found a firm, round, painless sore on my private parts""",Syphilis,,,,,,,,,,,,,,,,,,,,,,,,
"""I have a weird red rash all over my body, even on my hands and feet""",Syphilis,,,,,,,,,,,,,,,,,,,,,,,,
"""My hair is falling out in patches and I feel feverish""",Syphilis,,,,,,,,,,,,,,,,,,,,,,,,
"""I have these gray or white warty growths in my mouth or groin""",Syphilis,,,,,,,,,,,,,,,,,,,,,,,,
"""Muscle aches and a persistent feeling of being tired""",Syphilis,,,,,,,,,,,,,,,,,,,,,,,,
"""The sore I had a few weeks ago disappeared, but now I have a rash""",Syphilis,,,,,,,,,,,,,,,,,,,,,,,,
"""Weight loss and a lingering sore throat""",Syphilis,,,,,,,,,,,,,,,,,,,,,,,,
"""I'm having trouble with my vision and my head hurts""",Syphilis,,,,,,,,,,,,,,,,,,,,,,,,
"""Numbness and uncoordinated muscle movements""",Syphilis,,,,,,,,,,,,,,,,,,,,,,,,
"""Small sores in the mouth that don't really hurt""",Syphilis,,,,,,,,,,,,,,,,,,,,,,,,
"""General malaise with a widespread skin eruption""",Syphilis,,,,,,,,,,,,,,,,,,,,,,,,
"""Painful urination""",Chlamydia,,,,,,,,,,,,,,,,,,,,,,,,
"""Abnormal vaginal or penile discharge""",Chlamydia,,,,,,,,,,,,,,,,,,,,,,,,
"""Pain during intercourse""",Chlamydia,,,,,,,,,,,,,,,,,,,,,,,,
"""Bleeding between periods""",Chlamydia,,,,,,,,,,,,,,,,,,,,,,,,
"""I have a milky or clear discharge and a mild sting when I pee""",Chlamydia,,,,,,,,,,,,,,,,,,,,,,,,
"""My lower stomach has been aching for no reason""",Chlamydia,,,,,,,,,,,,,,,,,,,,,,,,
"""I noticed some bleeding after sex""",Chlamydia,,,,,,,,,,,,,,,,,,,,,,,,
"""My testicles are slightly swollen and painful""",Chlamydia,,,,,,,,,,,,,,,,,,,,,,,,
"""I have a lot of discharge but no real itching""",Chlamydia,,,,,,,,,,,,,,,,,,,,,,,,
"""I feel a dull ache in my pelvis throughout the day""",Chlamydia,,,,,,,,,,,,,,,,,,,,,,,,
"""It hurts deep inside during physical intimacy""",Chlamydia,,,,,,,,,,,,,,,,,,,,,,,,
"""Mild fever and unusual spotting""",Chlamydia,,,,,,,,,,,,,,,,,,,,,,,,
"""I think I have an infection but the symptoms are very mild""",Chlamydia,,,,,,,,,,,,,,,,,,,,,,,,
"""Pain and swelling in the rectal area""",Chlamydia,,,,,,,,,,,,,,,,,,,,,,,,
"""Burning sensation but the urine looks clear""",Chlamydia,,,,,,,,,,,,,,,,,,,,,,,,
"""Burning ache or pain in the abdomen""",H. Pylori infection,,,,,,,,,,,,,,,,,,,,,,,,
"""Stomach pain that is worse when the stomach is empty""",H. Pylori infection,,,,,,,,,,,,,,,,,,,,,,,,
"""Nausea and loss of appetite""",H. Pylori infection,,,,,,,,,,,,,,,,,,,,,,,,
"""Frequent burping and bloating""",H. Pylori infection,,,,,,,,,,,,,,,,,,,,,,,,
"""My stomach hurts so much when I haven't eaten for a few hours""",H. Pylori infection,,,,,,,,,,,,,,,,,,,,,,,,
"""I feel extremely bloated and I'm burping constantly""",H. Pylori infection,,,,,,,,,,,,,,,,,,,,,,,,
"""I have a gnawing or burning sensation in my upper belly""",H. Pylori infection,,,,,,,,,,,,,,,,,,,,,,,,
"""The pain in my stomach goes away for a bit after I eat""",H. Pylori infection,,,,,,,,,,,,,,,,,,,,,,,,
"""I feel sick to my stomach quite often lately""",H. Pylori infection,,,,,,,,,,,,,,,,,,,,,,,,
"""I've lost weight because eating makes me feel uncomfortable""",H. Pylori infection,,,,,,,,,,,,,,,,,,,,,,,,
"""Persistent indigestion that doesn't go away with antacids""",H. Pylori infection,,,,,,,,,,,,,,,,,,,,,,,,
"""Feeling very full after only eating a small amount""",H. Pylori infection,,,,,,,,,,,,,,,,,,,,,,,,
"""Dull stomach ache that wakes me up at night""",H. Pylori infection,,,,,,,,,,,,,,,,,,,,,,,,
"""I've been feeling more tired and pale lately""",H. Pylori infection,,,,,,,,,,,,,,,,,,,,,,,,
"""Dark or tarry stools along with stomach pain""",H. Pylori infection,,,,,,,,,,,,,,,,,,,,,,,,
"""High fever and shivering""",Sepsis,,,,,,,,,,,,,,,,,,,,,,,,
"""Rapid heart rate and fast breathing""",Sepsis,,,,,,,,,,,,,,,,,,,,,,,,
"""Extreme shivering or muscle pain""",Sepsis,,,,,,,,,,,,,,,,,,,,,,,,
"""No urine output""",Sepsis,,,,,,,,,,,,,,,,,,,,,,,,
"""Mottled or discolored skin""",Sepsis,,,,,,,,,,,,,,,,,,,,,,,,
"""My heart is racing and I can't seem to catch my breath""",Sepsis,,,,,,,,,,,,,,,,,,,,,,,,
"""I feel extremely cold and I'm shivering uncontrollably""",Sepsis,,,,,,,,,,,,,,,,,,,,,,,,
"""I haven't gone to the bathroom all day and I feel very confused""",Sepsis,,,,,,,,,,,,,,,,,,,,,,,,
"""My skin looks blotchy and I'm in the worst pain of my life""",Sepsis,,,,,,,,,,,,,,,,,,,,,,,,
"""I feel like I'm going to die, I'm so weak and dizzy""",Sepsis,,,,,,,,,,,,,,,,,,,,,,,,
"""Slurred speech and extreme shivering after an injury""",Sepsis,,,,,,,,,,,,,,,,,,,,,,,,
"""My temperature is very high but my hands feel ice cold""",Sepsis,,,,,,,,,,,,,,,,,,,,,,,,
"""I'm very sleepy and it's hard for me to stay awake""",Sepsis,,,,,,,,,,,,,,,,,,,,,,,,
"""Total body weakness following a recent infection""",Sepsis,,,,,,,,,,,,,,,,,,,,,,,,
"""Shortness of breath and a feeling of impending doom""",Sepsis,,,,,,,,,,,,,,,,,,,,,,,,
"""Fever and chills following childbirth""",Puerperal Sepsis,,,,,,,,,,,,,,,,,,,,,,,,
"""Lower abdominal pain""",Puerperal Sepsis,,,,,,,,,,,,,,,,,,,,,,,,
"""Foul-smelling vaginal discharge""",Puerperal Sepsis,,,,,,,,,,,,,,,,,,,,,,,,
"""Increased heart rate""",Puerperal Sepsis,,,,,,,,,,,,,,,,,,,,,,,,
"""I just had a baby and now I have a very high fever""",Puerperal Sepsis,,,,,,,,,,,,,,,,,,,,,,,,
"""My stomach is very tender and the discharge smells bad""",Puerperal Sepsis,,,,,,,,,,,,,,,,,,,,,,,,
"""I'm shivering and feel very weak after my delivery""",Puerperal Sepsis,,,,,,,,,,,,,,,,,,,,,,,,
"""I have severe pain in my pelvic area a week after giving birth""",Puerperal Sepsis,,,,,,,,,,,,,,,,,,,,,,,,
"""My heart is pounding and I feel lightheaded""",Puerperal Sepsis,,,,,,,,,,,,,,,,,,,,,,,,
"""Persistent headache and a general feeling of being very ill""",Puerperal Sepsis,,,,,,,,,,,,,,,,,,,,,,,,
"""Heavy bleeding along with a high temperature""",Puerperal Sepsis,,,,,,,,,,,,,,,,,,,,,,,,
"""I feel very confused and exhausted since coming home from the hospital""",Puerperal Sepsis,,,,,,,,,,,,,,,,,,,,,,,,
"""Nausea and vomiting following labor""",Puerperal Sepsis,,,,,,,,,,,,,,,,,,,,,,,,
"""Uterus feels soft and painful when pressed""",Puerperal Sepsis,,,,,,,,,,,,,,,,,,,,,,,,
"""Lack of appetite and intense body aches""",Puerperal Sepsis,,,,,,,,,,,,,,,,,,,,,,,,
"""Fever and chills""",Rickettsial Diseases (Scrub Typhus),,,,,,,,,,,,,,,,,,,,,,,,
"""Headache and muscle aches""",Rickettsial Diseases (Scrub Typhus),,,,,,,,,,,,,,,,,,,,,,,,
"""A dark, scab-like sore or eschar at the bite site""",Rickettsial Diseases (Scrub Typhus),,,,,,,,,,,,,,,,,,,,,,,,
"""Mental changes, ranging from confusion to coma""",Rickettsial Diseases (Scrub Typhus),,,,,,,,,,,,,,,,,,,,,,,,
"""Enlarged lymph nodes""",Rickettsial Diseases (Scrub Typhus),,,,,,,,,,,,,,,,,,,,,,,,
"""I have a high fever and a weird black scab on my leg""",Rickettsial Diseases (Scrub Typhus),,,,,,,,,,,,,,,,,,,,,,,,
"""My head is throbbing and my muscles feel very stiff""",Rickettsial Diseases (Scrub Typhus),,,,,,,,,,,,,,,,,,,,,,,,
"""I've noticed some red spots on my body after being in the woods""",Rickettsial Diseases (Scrub Typhus),,,,,,,,,,,,,,,,,,,,,,,,
"""The glands in my neck and armpits are swollen""",Rickettsial Diseases (Scrub Typhus),,,,,,,,,,,,,,,,,,,,,,,,
"""I feel very confused and my family says I'm acting strange""",Rickettsial Diseases (Scrub Typhus),,,,,,,,,,,,,,,,,,,,,,,,
"""Dry cough and a persistent high temperature""",Rickettsial Diseases (Scrub Typhus),,,,,,,,,,,,,,,,,,,,,,,,
"""My eyes are red and I have a bad stomach ache""",Rickettsial Diseases (Scrub Typhus),,,,,,,,,,,,,,,,,,,,,,,,
"""Extreme exhaustion and a spreading rash""",Rickettsial Diseases (Scrub Typhus),,,,,,,,,,,,,,,,,,,,,,,,
"""Spleen and liver enlargement with high fever""",Rickettsial Diseases (Scrub Typhus),,,,,,,,,,,,,,,,,,,,,,,,
"""Sensitivity to light and a pounding headache""",Rickettsial Diseases (Scrub Typhus),,,,,,,,,,,,,,,,,,,,,,,,
"""Fever and painful, tender joints""",Rheumatic Fever,,,,,,,,,,,,,,,,,,,,,,,,
"""Jerky, uncontrollable body movements or chorea""",Rheumatic Fever,,,,,,,,,,,,,,,,,,,,,,,,
"""Fatigue""",Rheumatic Fever,,,,,,,,,,,,,,,,,,,,,,,,
"""Small, painless bumps under the skin""",Rheumatic Fever,,,,,,,,,,,,,,,,,,,,,,,,
"""Chest pain or heart murmur""",Rheumatic Fever,,,,,,,,,,,,,,,,,,,,,,,,
"""My joints are swollen and the pain moves from one to anothe""",Rheumatic Fever,,,,,,,,,,,,,,,,,,,,,,,,
"""I keep having these strange, twitchy movements I can't control""",Rheumatic Fever,,,,,,,,,,,,,,,,,,,,,,,,
"""I have a red, lattice-like rash on my chest and back""",Rheumatic Fever,,,,,,,,,,,,,,,,,,,,,,,,
"""My heart feels like it's fluttering and my chest hurts""",Rheumatic Fever,,,,,,,,,,,,,,,,,,,,,,,,
"""I feel very tired and I recently had a bad sore throat""",Rheumatic Fever,,,,,,,,,,,,,,,,,,,,,,,,
"""Small hard lumps have appeared over my elbows and knees""",Rheumatic Fever,,,,,,,,,,,,,,,,,,,,,,,,
"""Shortness of breath and a persistent low-grade fever""",Rheumatic Fever,,,,,,,,,,,,,,,,,,,,,,,,
"""My wrists and ankles are red, hot, and very painful""",Rheumatic Fever,,,,,,,,,,,,,,,,,,,,,,,,
"""I'm having trouble walking because my knees hurt so much""",Rheumatic Fever,,,,,,,,,,,,,,,,,,,,,,,,
"""General weakness and lack of energy after a throat infection""",Rheumatic Fever,,,,,,,,,,,,,,,,,,,,,,,,
"""Thin, gray, white or green vaginal discharge""",Bacterial Vaginosis,,,,,,,,,,,,,,,,,,,,,,,,
"""Foul-smelling ""fishy"" vaginal odor""",Bacterial Vaginosis,,,,,,,,,,,,,,,,,,,,,,,,
"""Vaginal itching""",Bacterial Vaginosis,,,,,,,,,,,,,,,,,,,,,,,,
"""Burning during urination""",Bacterial Vaginosis,,,,,,,,,,,,,,,,,,,,,,,,
"""There's a very strong fishy smell coming from my lady parts""",Bacterial Vaginosis,,,,,,,,,,,,,,,,,,,,,,,,
"""I've noticed a thin, grayish discharge lately""",Bacterial Vaginosis,,,,,,,,,,,,,,,,,,,,,,,,
"""It's very itchy down there and smells worse after intimacy""",Bacterial Vaginosis,,,,,,,,,,,,,,,,,,,,,,,,
"""I feel a slight burning sensation when I pee""",Bacterial Vaginosis,,,,,,,,,,,,,,,,,,,,,,,,
"""The discharge is watery and seems to be everywhere""",Bacterial Vaginosis,,,,,,,,,,,,,,,,,,,,,,,,
"""I'm worried about the smell even after I shower""",Bacterial Vaginosis,,,,,,,,,,,,,,,,,,,,,,,,
"""Irritation and redness around the vaginal opening""",Bacterial Vaginosis,,,,,,,,,,,,,,,,,,,,,,,,
"""A strange smell that gets stronger during my period""",Bacterial Vaginosis,,,,,,,,,,,,,,,,,,,,,,,,
"""I don't have pain, just a very embarrassing odor""",Bacterial Vaginosis,,,,,,,,,,,,,,,,,,,,,,,,
"""Feeling uncomfortable and damp throughout the day""",Bacterial Vaginosis,,,,,,,,,,,,,,,,,,,,,,,,
"""Vaginal discharge that looks like milk""",Bacterial Vaginosis,,,,,,,,,,,,,,,,,,,,,,,,
"""Watery diarrhea""",Clostridium perfringens infection,,,,,,,,,,,,,,,,,,,,,,,,
"""Intense abdominal cramps""",Clostridium perfringens infection,,,,,,,,,,,,,,,,,,,,,,,,
"""Nausea""",Clostridium perfringens infection,,,,,,,,,,,,,,,,,,,,,,,,
"""Dehydration""",Clostridium perfringens infection,,,,,,,,,,,,,,,,,,,,,,,,
"""I have terrible stomach cramps and I've been running to the bathroom""",Clostridium perfringens infection,,,,,,,,,,,,,,,,,,,,,,,,
"""I got sick about 10 hours after eating that buffet food""",Clostridium perfringens infection,,,,,,,,,,,,,,,,,,,,,,,,
"""My stomach is in knots and I have very watery diarrhea""",Clostridium perfringens infection,,,,,,,,,,,,,,,,,,,,,,,,
"""I feel nauseous but I haven't actually vomited""",Clostridium perfringens infection,,,,,,,,,,,,,,,,,,,,,,,,
"""The diarrhea started very suddenly and it's quite frequent""",Clostridium perfringens infection,,,,,,,,,,,,,,,,,,,,,,,,
"""I feel very gassy and my stomach is bloated""",Clostridium perfringens infection,,,,,,,,,,,,,,,,,,,,,,,,
"""I have a lot of rumbling in my gut and pain""",Clostridium perfringens infection,,,,,,,,,,,,,,,,,,,,,,,,
"""I'm feeling very thirsty and a bit dizzy""",Clostridium perfringens infection,,,,,,,,,,,,,,,,,,,,,,,,
"""The intestinal pain is sharp and comes in waves""",Clostridium perfringens infection,,,,,,,,,,,,,,,,,,,,,,,,
"""Loss of appetite and frequent loose stools""",Clostridium perfringens infection,,,,,,,,,,,,,,,,,,,,,,,,
"""Sudden onset of gastric distress with no fever""",Clostridium perfringens infection,,,,,,,,,,,,,,,,,,,,,,,,
"""Nausea and vomiting""",Bacillus cereus infection,,,,,,,,,,,,,,,,,,,,,,,,
"""Abdominal cramps""",Bacillus cereus infection,,,,,,,,,,,,,,,,,,,,,,,,
"""Watery diarrhea""",Bacillus cereus infection,,,,,,,,,,,,,,,,,,,,,,,,
"""Sudden onset of symptoms after eating rice""",Bacillus cereus infection,,,,,,,,,,,,,,,,,,,,,,,,
"""I got sick just a few hours after eating leftover fried rice""",Bacillus cereus infection,,,,,,,,,,,,,,,,,,,,,,,,
"""I've been vomiting non-stop since my lunch""",Bacillus cereus infection,,,,,,,,,,,,,,,,,,,,,,,,
"""My stomach is cramping and I have watery diarrhea""",Bacillus cereus infection,,,,,,,,,,,,,,,,,,,,,,,,
"""I feel nauseous and have a mild fever""",Bacillus cereus infection,,,,,,,,,,,,,,,,,,,,,,,,
"""Sudden stomach upset that started very quickly""",Bacillus cereus infection,,,,,,,,,,,,,,,,,,,,,,,,
"""I feel very weak and dehydrated from vomiting""",Bacillus cereus infection,,,,,,,,,,,,,,,,,,,,,,,,
"""Loss of appetite and persistent stomach pain""",Bacillus cereus infection,,,,,,,,,,,,,,,,,,,,,,,,
"""Feeling cold and shivery with an upset stomach""",Bacillus cereus infection,,,,,,,,,,,,,,,,,,,,,,,,
"""Intestinal distress that lasts about 24 hours""",Bacillus cereus infection,,,,,,,,,,,,,,,,,,,,,,,,
"""My stomach is in knots after eating at the buffet""",Bacillus cereus infection,,,,,,,,,,,,,,,,,,,,,,,,
"""Gastrointestinal discomfort and frequent loose stools""",Bacillus cereus infection,,,,,,,,,,,,,,,,,,,,,,,,
"""Red, swollen, and painful bump on the skin""",MRSA (Staphylococcus aureus),,,,,,,,,,,,,,,,,,,,,,,,
"""Bump that looks like a spider bite or pimple""",MRSA (Staphylococcus aureus),,,,,,,,,,,,,,,,,,,,,,,,
"""Area is warm to the touch and full of pus""",MRSA (Staphylococcus aureus),,,,,,,,,,,,,,,,,,,,,,,,
"""Fever and chills""",MRSA (Staphylococcus aureus),,,,,,,,,,,,,,,,,,,,,,,,
"""I have a painful red lump that won't heal with normal ointment""",MRSA (Staphylococcus aureus),,,,,,,,,,,,,,,,,,,,,,,,
"""This 'pimple' is getting bigger and is very hot to touch""",MRSA (Staphylococcus aureus),,,,,,,,,,,,,,,,,,,,,,,,
"""I have a sore that is oozing pus and I feel feverish""",MRSA (Staphylococcus aureus),,,,,,,,,,,,,,,,,,,,,,,,
"""A small cut on my skin has turned into a deep, painful boil""",MRSA (Staphylococcus aureus),,,,,,,,,,,,,,,,,,,,,,,,
"""I've developed a fever and the skin infection is spreading""",MRSA (Staphylococcus aureus),,,,,,,,,,,,,,,,,,,,,,,,
